file,pattern,lineno
sklearn\utils\estimator_checks.py,hasattr,1286
sklearn\utils\estimator_checks.py,getattr,1426
sklearn\utils\extmath.py,hasattr,168
sklearn\utils\extmath.py,hasattr,183
sklearn\utils\extmath.py,delname,360,B
sklearn\utils\graph.py,hasattr,72
sklearn\utils\multiclass.py,hasattr,28
sklearn\utils\multiclass.py,hasattr,142
sklearn\utils\multiclass.py,hasattr,144
sklearn\utils\multiclass.py,hasattr,231
sklearn\utils\multiclass.py,hasattr,249
sklearn\utils\multiclass.py,getattr,296
sklearn\utils\multiclass.py,getattr,301
sklearn\utils\testing.py,hasattr,176
sklearn\utils\testing.py,hasattr,224
sklearn\utils\testing.py,hasattr,245
sklearn\utils\testing.py,hasattr,274
sklearn\utils\testing.py,hasattr,403
sklearn\utils\testing.py,hasattr,598
sklearn\utils\testing.py,hasattr,760
sklearn\utils\testing.py,getattr,761
sklearn\utils\validation.py,hasattr,113
sklearn\utils\validation.py,hasattr,114
sklearn\utils\validation.py,hasattr,115
sklearn\utils\validation.py,hasattr,120
sklearn\utils\validation.py,hasattr,124
sklearn\utils\validation.py,hasattr,124
sklearn\utils\validation.py,hasattr,125
sklearn\utils\validation.py,hasattr,130
sklearn\utils\validation.py,hasattr,206
sklearn\utils\validation.py,hasattr,206
sklearn\utils\validation.py,hasattr,270
sklearn\utils\validation.py,getattr,350
sklearn\utils\validation.py,hasattr,351
sklearn\utils\validation.py,getattr,646
sklearn\utils\validation.py,hasattr,684
sklearn\utils\validation.py,hasattr,690
sklearn\utils\__init__.py,hasattr,60
sklearn\utils\__init__.py,hasattr,79
sklearn\utils\__init__.py,hasattr,89
sklearn\utils\__init__.py,hasattr,90
sklearn\utils\__init__.py,hasattr,90
sklearn\utils\__init__.py,hasattr,176
sklearn\utils\tests\test_estimator_checks.py,hasattr,56
sklearn\utils\tests\test_multiclass.py,hasattr,240
sklearn\utils\tests\test_utils.py,hasattr,80
